                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.14% (0.70%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.07% (1.39%) * |  3.56% (0.39%) * |  1.56% (0.41%) * |  1.40% (0.33%) * |  0.69% (0.28%) *
audiology       |     74.77% | 60.83% (5.34%) * | 46.90% (5.74%) * | 29.64% (2.14%) * | 21.93% (1.76%) * | 22.82% (1.50%) *
autos           |     67.35% | 71.50% (7.76%)   | 46.33% (5.77%) * | 36.35% (2.46%) * | 29.65% (2.55%) * | 21.53% (2.33%) *
credit-a        |     44.49% | 20.24% (1.49%) * | 12.32% (1.12%) * | 19.35% (1.63%) * | 19.29% (1.25%) * | 19.36% (1.40%) *
hypothyroid     |      7.71% |  2.98% (0.49%) * |  1.56% (0.34%) * |  0.64% (0.06%) * |  0.72% (0.14%) * |  0.61% (0.07%) *
letter          |     96.26% | 28.88% (0.39%) * | 21.59% (0.36%) * | 16.36% (0.24%) * | 13.31% (0.14%) * | 11.85% (0.16%) *
microarray      |     50.20% | 50.97% (5.40%)   | 51.77% (2.98%)   | 51.57% (1.81%)   | 46.81% (1.88%) * | 49.12% (1.50%)  
vote            |     38.63% | 14.45% (3.77%) * |  5.80% (1.73%) * |  7.27% (1.38%) * |  3.53% (0.35%) * |  5.77% (0.48%) *
